object-contain,text-capitalize,p,p_2,text-sm,text-foreground,text-sm_2,text-sm_3,text-sm_4,text-sm_5,text-sm_6,text-sm_7,text-sm_8
https://ap-south-1.linodeobjects.com/arektacoinstore/gallery/1782232345846-chatgpt-image-jun-23-2026-10_25_00-pm.webp,PUBG Mobile,✅ Delivery : Maximum 24h,"PUBG MOBILE with the highest resolution items and gameplay experience. PUBG MOBILE can fulfill any wish you might have. Choose from countless firearms and test your marksmanship. New items, maps, and modes are constantly added to the game. PUBG MOBILE offers the most intense multiplayer battles on your mobile phone. Join the battle, put on your gear, and play to win. Survive in epic 100-player battles in Classic Mode, Payload Mode, the fast-paced 4v4 Team Deathmatch Mode, and Infection Mode. Survival is all that matters. Survive to the end to get the last laugh. Accept missions and fire at will!",Read less,,,,,,,,
,,,,,Amount,PUBG Mobile 60 UC,PUBG Mobile 325 UC,PUBG Mobile 660 UC,PUBG Mobile 1800 UC,PUBG Mobile 3850 UC,PUBG Mobile 8100 UC,Login to Place Order
